ntpb,npts,nTriMax,totalRuntime,totalCPUTime,totalGPUTime,prepForInsertTimeTot,insertTimeTot,flipTimeTot,updatePtsTimeTot,seed,distribution,deviceName
32,100000,200001,0.387326,0.001052,0.386274,0.006696,0.001060,0.024357,0.354161,0,0,NVIDIA GeForce RTX 3090
64,100000,200001,0.336413,0.001016,0.335397,0.006948,0.001069,0.024517,0.302863,0,0,NVIDIA GeForce RTX 3090
96,100000,200001,0.338944,0.001003,0.337941,0.007046,0.001073,0.024397,0.305425,0,0,NVIDIA GeForce RTX 3090
128,100000,200001,0.341807,0.001025,0.340782,0.007061,0.001083,0.024577,0.308060,0,0,NVIDIA GeForce RTX 3090
160,100000,200001,0.352510,0.001029,0.351481,0.007130,0.001087,0.024520,0.318743,0,0,NVIDIA GeForce RTX 3090
192,100000,200001,0.344283,0.001010,0.343273,0.007049,0.001105,0.024491,0.310628,0,0,NVIDIA GeForce RTX 3090
224,100000,200001,0.344872,0.000886,0.343986,0.006993,0.001097,0.024763,0.311133,0,0,NVIDIA GeForce RTX 3090
256,100000,200001,0.347545,0.001028,0.346517,0.006786,0.001113,0.024564,0.314053,0,0,NVIDIA GeForce RTX 3090
288,100000,200001,0.365692,0.001070,0.364622,0.007052,0.001119,0.024687,0.331763,0,0,NVIDIA GeForce RTX 3090
320,100000,200001,0.369685,0.001045,0.368640,0.006911,0.001124,0.024439,0.336166,0,0,NVIDIA GeForce RTX 3090
352,100000,200001,0.350103,0.001009,0.349094,0.006837,0.001139,0.024632,0.316486,0,0,NVIDIA GeForce RTX 3090
384,100000,200001,0.363388,0.001051,0.362337,0.006993,0.001147,0.024582,0.329615,0,0,NVIDIA GeForce RTX 3090
416,100000,200001,0.367905,0.001053,0.366852,0.006975,0.001160,0.024927,0.333790,0,0,NVIDIA GeForce RTX 3090
448,100000,200001,0.379759,0.000893,0.378866,0.007020,0.001154,0.025010,0.345682,0,0,NVIDIA GeForce RTX 3090
480,100000,200001,0.397408,0.001041,0.396367,0.007033,0.001158,0.024616,0.363560,0,0,NVIDIA GeForce RTX 3090
512,100000,200001,0.369039,0.000997,0.368042,0.006933,0.001167,0.024701,0.335241,0,0,NVIDIA GeForce RTX 3090
544,100000,200001,0.408951,0.001050,0.407901,0.006904,0.001178,0.024920,0.374900,0,0,NVIDIA GeForce RTX 3090
576,100000,200001,0.405823,0.001092,0.404731,0.006753,0.001190,0.024966,0.371822,0,0,NVIDIA GeForce RTX 3090
608,100000,200001,0.399330,0.001025,0.398305,0.006643,0.001205,0.024903,0.365554,0,0,NVIDIA GeForce RTX 3090
640,100000,200001,0.404326,0.001045,0.403281,0.006666,0.001218,0.025135,0.370262,0,0,NVIDIA GeForce RTX 3090
672,100000,200001,0.395272,0.001067,0.394205,0.006832,0.001205,0.025090,0.361078,0,0,NVIDIA GeForce RTX 3090
704,100000,200001,0.395012,0.001050,0.393962,0.006656,0.001221,0.025123,0.360963,0,0,NVIDIA GeForce RTX 3090
736,100000,200001,0.395802,0.001052,0.394750,0.006720,0.001230,0.025488,0.361312,0,0,NVIDIA GeForce RTX 3090
768,100000,200001,0.406465,0.001069,0.405396,0.006738,0.001239,0.025691,0.371728,0,0,NVIDIA GeForce RTX 3090
800,100000,200001,0.421687,0.001016,0.420671,0.006724,0.001244,0.025462,0.387241,0,0,NVIDIA GeForce RTX 3090
832,100000,200001,0.431456,0.000867,0.430589,0.006740,0.001267,0.025614,0.396968,0,0,NVIDIA GeForce RTX 3090
864,100000,200001,0.427365,0.001021,0.426344,0.006727,0.001250,0.025616,0.392750,0,0,NVIDIA GeForce RTX 3090
32,100000,200001,0.626275,0.001353,0.624922,0.008396,0.001337,0.038087,0.577101,0,1,NVIDIA GeForce RTX 3090
64,100000,200001,0.580816,0.001364,0.579452,0.008676,0.001354,0.038419,0.531003,0,1,NVIDIA GeForce RTX 3090
96,100000,200001,0.594606,0.001412,0.593194,0.008482,0.001362,0.038500,0.544850,0,1,NVIDIA GeForce RTX 3090
128,100000,200001,0.603932,0.001389,0.602543,0.008863,0.001373,0.038802,0.553504,0,1,NVIDIA GeForce RTX 3090
160,100000,200001,0.607378,0.001369,0.606009,0.008712,0.001379,0.038304,0.557613,0,1,NVIDIA GeForce RTX 3090
192,100000,200001,0.585983,0.001270,0.584713,0.008717,0.001382,0.038507,0.536107,0,1,NVIDIA GeForce RTX 3090
224,100000,200001,0.598248,0.001381,0.596867,0.008775,0.001396,0.038584,0.548111,0,1,NVIDIA GeForce RTX 3090
256,100000,200001,0.609459,0.001385,0.608074,0.008565,0.001408,0.038452,0.559648,0,1,NVIDIA GeForce RTX 3090
288,100000,200001,0.636716,0.001389,0.635327,0.008565,0.001406,0.038755,0.586601,0,1,NVIDIA GeForce RTX 3090
320,100000,200001,0.643061,0.001281,0.641780,0.008763,0.001424,0.038254,0.593340,0,1,NVIDIA GeForce RTX 3090
352,100000,200001,0.631520,0.001380,0.630140,0.008486,0.001438,0.038670,0.581546,0,1,NVIDIA GeForce RTX 3090
384,100000,200001,0.626209,0.001377,0.624832,0.008814,0.001445,0.038536,0.576038,0,1,NVIDIA GeForce RTX 3090
416,100000,200001,0.656564,0.001348,0.655216,0.008592,0.001456,0.038238,0.606930,0,1,NVIDIA GeForce RTX 3090
448,100000,200001,0.649957,0.001204,0.648753,0.008574,0.001472,0.039091,0.599616,0,1,NVIDIA GeForce RTX 3090
480,100000,200001,0.672578,0.001406,0.671172,0.008645,0.001470,0.038479,0.622577,0,1,NVIDIA GeForce RTX 3090
512,100000,200001,0.651757,0.001363,0.650394,0.008510,0.001489,0.038669,0.601727,0,1,NVIDIA GeForce RTX 3090
