ntpb,npts,nTriMax,totalRuntime,totalCPUTime,totalGPUTime,prepForInsertTimeTot,insertTimeTot,flipTimeTot,updatePtsTimeTot,seed,distribution,
1,100,201,0.057298,0.001722,0.055576,0.009260,0.000597,0.037130,0.008589,0,0,
2,100,201,0.057288,0.001694,0.055594,0.009169,0.000614,0.037222,0.008588,0,0,
3,100,201,0.057330,0.001727,0.055603,0.009206,0.000613,0.037191,0.008593,0,0,
4,100,201,0.056266,0.001734,0.054532,0.009072,0.000624,0.036250,0.008586,0,0,
5,100,201,0.056609,0.001745,0.054864,0.009149,0.000625,0.036500,0.008590,0,0,
6,100,201,0.057634,0.001971,0.055663,0.009329,0.000643,0.037097,0.008594,0,0,
7,100,201,0.056795,0.001687,0.055108,0.009213,0.000624,0.036679,0.008592,0,0,
1,100,201,0.043998,0.001366,0.042632,0.007698,0.000546,0.028540,0.005848,0,1,
2,100,201,0.044102,0.001391,0.042711,0.007684,0.000549,0.028632,0.005846,0,1,
3,100,201,0.044025,0.001361,0.042664,0.007644,0.000551,0.028619,0.005850,0,1,
4,100,201,0.043951,0.001353,0.042598,0.007537,0.000549,0.028661,0.005850,0,1,
5,100,201,0.043689,0.001392,0.042297,0.007538,0.000561,0.028351,0.005846,0,1,
6,100,201,0.044490,0.001403,0.043087,0.007742,0.000567,0.028928,0.005850,0,1,
7,100,201,0.044227,0.001558,0.042669,0.007693,0.000554,0.028574,0.005849,0,1,
1,100,201,0.052023,0.001584,0.050439,0.008947,0.000598,0.033140,0.007753,0,2,
2,100,201,0.049300,0.001663,0.047637,0.009366,0.000621,0.029626,0.008024,0,2,
3,100,201,0.055593,0.001865,0.053728,0.009281,0.000627,0.035815,0.008006,0,2,
4,100,201,0.052377,0.001644,0.050733,0.009008,0.000622,0.033138,0.007965,0,2,
5,100,201,0.047932,0.001351,0.046581,0.007601,0.000555,0.032782,0.005643,0,2,
6,100,201,0.040531,0.001356,0.039175,0.007422,0.000559,0.025583,0.005612,0,2,
7,100,201,0.052101,0.001627,0.050474,0.009493,0.000624,0.032053,0.008304,0,2,
1,100,201,0.040046,0.001362,0.038684,0.007493,0.000529,0.025082,0.005580,1,0,
2,100,201,0.040381,0.001357,0.039024,0.007512,0.000539,0.025393,0.005581,1,0,
3,100,201,0.040176,0.001404,0.038772,0.007518,0.000545,0.025130,0.005580,1,0,
4,100,201,0.039733,0.001339,0.038394,0.007353,0.000552,0.024908,0.005582,1,0,
5,100,201,0.039132,0.001320,0.037812,0.007291,0.000541,0.024402,0.005578,1,0,
6,100,201,0.040546,0.001352,0.039194,0.007523,0.000560,0.025528,0.005583,1,0,
7,100,201,0.040285,0.001541,0.038744,0.007504,0.000553,0.025105,0.005582,1,0,
1,100,201,0.047935,0.001674,0.046261,0.007653,0.000533,0.031961,0.006114,1,1,
2,100,201,0.047895,0.001428,0.046467,0.007677,0.000544,0.032128,0.006118,1,1,
3,100,201,0.048229,0.001445,0.046784,0.007705,0.000541,0.032418,0.006119,1,1,
4,100,201,0.048236,0.001420,0.046816,0.007667,0.000561,0.032466,0.006121,1,1,
5,100,201,0.047482,0.001414,0.046068,0.007584,0.000559,0.031807,0.006118,1,1,
6,100,201,0.048222,0.001419,0.046803,0.007690,0.000564,0.032430,0.006119,1,1,
7,100,201,0.048202,0.001434,0.046768,0.007712,0.000560,0.032375,0.006121,1,1,
1,100,201,0.060481,0.001992,0.058489,0.011330,0.000662,0.035729,0.010768,1,2,
2,100,201,0.058625,0.001655,0.056970,0.008778,0.000609,0.039533,0.008051,1,2,
3,100,201,0.047693,0.001375,0.046318,0.007618,0.000545,0.032512,0.005643,1,2,
4,100,201,0.060696,0.002021,0.058675,0.011783,0.000696,0.035067,0.011130,1,2,
5,100,201,0.056192,0.001911,0.054281,0.011216,0.000691,0.031664,0.010710,1,2,
6,100,201,0.050166,0.001849,0.048317,0.008748,0.000626,0.030974,0.007969,1,2,
7,100,201,0.052355,0.001677,0.050678,0.009187,0.000632,0.033101,0.007759,1,2,
1,100,201,0.049839,0.001727,0.048112,0.009491,0.000593,0.029530,0.008497,2,0,
2,100,201,0.050002,0.001731,0.048271,0.009552,0.000617,0.029602,0.008500,2,0,
3,100,201,0.050079,0.001709,0.048370,0.009558,0.000618,0.029693,0.008501,2,0,
4,100,201,0.049387,0.001834,0.047553,0.009425,0.000616,0.029008,0.008503,2,0,
5,100,201,0.049175,0.001689,0.047486,0.009269,0.000629,0.029083,0.008504,2,0,
6,100,201,0.050186,0.001701,0.048485,0.009470,0.000624,0.029876,0.008515,2,0,
7,100,201,0.050040,0.001720,0.048320,0.009510,0.000624,0.029682,0.008503,2,0,
1,100,201,0.045180,0.001746,0.043434,0.010109,0.000596,0.023777,0.008952,2,1,
2,100,201,0.044580,0.001720,0.042860,0.009903,0.000608,0.023402,0.008947,2,1,
3,100,201,0.045865,0.000935,0.044930,0.010195,0.000619,0.025167,0.008949,2,1,
4,100,201,0.045444,0.001731,0.043713,0.010143,0.000622,0.023995,0.008953,2,1,
5,100,201,0.045353,0.001728,0.043625,0.010028,0.000625,0.024022,0.008951,2,1,
6,100,201,0.045654,0.001750,0.043904,0.010188,0.000628,0.024137,0.008951,2,1,
7,100,201,0.045417,0.001717,0.043700,0.010138,0.000622,0.023977,0.008964,2,1,
1,100,201,0.048429,0.001651,0.046778,0.009182,0.000592,0.029072,0.007932,2,2,
2,100,201,0.049910,0.001646,0.048264,0.009027,0.000620,0.030625,0.007992,2,2,
3,100,201,0.059382,0.001974,0.057408,0.011358,0.000686,0.034597,0.010767,2,2,
4,100,201,0.050711,0.001662,0.049049,0.009086,0.000614,0.031147,0.008202,2,2,
5,100,201,0.048767,0.001642,0.047125,0.009221,0.000624,0.029638,0.007642,2,2,
6,100,201,0.050304,0.001635,0.048669,0.009306,0.000625,0.030951,0.007788,2,2,
