ntpb,npts,nTriMax,totalRuntime,totalCPUTime,totalGPUTime,prepForInsertTimeTot,insertTimeTot,flipTimeTot,updatePtsTimeTot,seed,distribution,deviceName
128,4,9,0.003640,0.000229,0.003411,0.002720,0.000089,0.000559,0.000043,0,0,NVIDIA GeForce RTX 3090
128,4,9,0.003677,0.000211,0.003466,0.002797,0.000087,0.000541,0.000042,0,1,NVIDIA GeForce RTX 3090
128,4,9,0.003639,0.000214,0.003425,0.002750,0.000089,0.000544,0.000042,0,2,NVIDIA GeForce RTX 3090
128,4,9,0.004105,0.000318,0.003787,0.002800,0.000113,0.000817,0.000058,0,3,NVIDIA GeForce RTX 3090
128,8,17,0.005128,0.000425,0.004703,0.002778,0.000131,0.001715,0.000079,0,0,NVIDIA GeForce RTX 3090
128,8,17,0.005111,0.000431,0.004680,0.002787,0.000136,0.001680,0.000077,0,1,NVIDIA GeForce RTX 3090
128,8,17,0.005049,0.000693,0.004356,0.002922,0.000129,0.001228,0.000078,0,2,NVIDIA GeForce RTX 3090
128,8,17,0.004688,0.000433,0.004255,0.002928,0.000137,0.001112,0.000079,0,3,NVIDIA GeForce RTX 3090
128,16,33,0.005625,0.000609,0.005016,0.003017,0.000157,0.001731,0.000112,0,0,NVIDIA GeForce RTX 3090
128,16,33,0.006055,-0.004064,0.010119,0.007982,0.000166,0.001858,0.000113,0,1,NVIDIA GeForce RTX 3090
128,16,33,0.006037,0.000861,0.005176,0.003032,0.000161,0.001870,0.000113,0,2,NVIDIA GeForce RTX 3090
128,16,33,0.006339,0.000804,0.005535,0.003030,0.000162,0.002230,0.000114,0,3,NVIDIA GeForce RTX 3090
128,32,65,0.007291,-0.003496,0.010787,0.007823,0.000187,0.002607,0.000170,0,0,NVIDIA GeForce RTX 3090
128,32,65,0.006598,0.000841,0.005757,0.003155,0.000182,0.002257,0.000163,0,1,NVIDIA GeForce RTX 3090
128,32,65,0.007821,0.000860,0.006961,0.003197,0.000187,0.003404,0.000172,0,2,NVIDIA GeForce RTX 3090
128,32,65,0.007417,0.000815,0.006602,0.003073,0.000178,0.003184,0.000167,0,3,NVIDIA GeForce RTX 3090
128,64,129,0.008262,0.001236,0.007026,0.003195,0.000207,0.003313,0.000311,0,0,NVIDIA GeForce RTX 3090
128,64,129,0.009425,0.001468,0.007957,0.003423,0.000237,0.003939,0.000358,0,1,NVIDIA GeForce RTX 3090
128,64,129,0.009134,0.001228,0.007906,0.003293,0.000206,0.004102,0.000305,0,2,NVIDIA GeForce RTX 3090
128,64,129,0.009238,0.001207,0.008031,0.003217,0.000207,0.004300,0.000307,0,3,NVIDIA GeForce RTX 3090
