ntpb,npts,nTriMax,totalRuntime,totalCPUTime,totalGPUTime,prepForInsertTimeTot,insertTimeTot,flipTimeTot,updatePtsTimeTot,seed,distribution
128,100,201,0.008921,0.001400,0.007521,0.003075,0.000203,0.004063,0.000180,0,0
128,200,401,0.013474,0.002595,0.010879,0.003318,0.000230,0.007050,0.000281,0,0
128,300,601,0.016342,0.003851,0.012491,0.003445,0.000259,0.008344,0.000443,0,0
128,400,801,0.021997,0.005841,0.016156,0.003526,0.000286,0.011696,0.000647,0,0
128,500,1001,0.023195,0.006750,0.016445,0.003371,0.000287,0.012026,0.000761,0,0
128,600,1201,0.026869,0.007690,0.019179,0.003556,0.000291,0.014474,0.000857,0,0
128,700,1401,0.030340,0.008529,0.021811,0.003511,0.000286,0.017066,0.000948,0,0
128,800,1601,0.037437,0.011646,0.025791,0.003613,0.000325,0.020580,0.001273,0,0
128,900,1801,0.036668,0.010086,0.026582,0.003579,0.000294,0.021562,0.001148,0,0
128,1000,2001,0.044725,0.013841,0.030884,0.003456,0.000332,0.025580,0.001516,0,0
