npts,nTriMax,totalRuntime,seed,distribution,
4,9,0.000021,0,0,
4,9,0.000025,0,1,
4,9,0.000026,0,2,
4,9,0.000022,0,3,
8,17,0.000029,0,0,
8,17,0.000030,0,1,
8,17,0.000027,0,2,
8,17,0.000025,0,3,
16,33,0.000040,0,0,
16,33,0.000034,0,1,
16,33,0.000034,0,2,
16,33,0.000034,0,3,
32,65,0.000059,0,0,
32,65,0.000057,0,1,
32,65,0.000055,0,2,
32,65,0.000057,0,3,
64,129,0.000127,0,0,
64,129,0.000125,0,1,
64,129,0.000130,0,2,
64,129,0.000140,0,3,
128,257,0.000378,0,0,
128,257,0.000388,0,1,
128,257,0.000391,0,2,
128,257,0.000401,0,3,
256,513,0.001312,0,0,
256,513,0.001352,0,1,
256,513,0.001354,0,2,
256,513,0.001355,0,3,
512,1025,0.004780,0,0,
512,1025,0.005003,0,1,
512,1025,0.004803,0,2,
512,1025,0.004720,0,3,
1024,2049,0.018164,0,0,
1024,2049,0.018749,0,1,
1024,2049,0.018446,0,2,
1024,2049,0.018059,0,3,
2048,4097,0.051671,0,0,
2048,4097,0.049986,0,1,
2048,4097,0.051656,0,2,
2048,4097,0.050958,0,3,
4096,8193,0.157709,0,0,
4096,8193,0.154109,0,1,
4096,8193,0.155150,0,2,
4096,8193,0.155535,0,3,
8192,16385,0.652458,0,0,
8192,16385,0.647508,0,1,
8192,16385,0.645551,0,2,
8192,16385,0.641597,0,3,
16384,32769,2.675918,0,0,
16384,32769,2.657965,0,1,
16384,32769,2.639073,0,2,
16384,32769,2.640746,0,3,
32768,65537,10.771261,0,0,
32768,65537,10.723420,0,1,
32768,65537,10.708901,0,2,
32768,65537,10.708520,0,3,
65536,131073,49.110283,0,0,
65536,131073,47.442963,0,1,
65536,131073,48.672832,0,2,
65536,131073,49.831795,0,3,
131072,262145,347.572174,0,0,
131072,262145,349.480286,0,1,
131072,262145,348.439117,0,2,
131072,262145,373.509216,0,3,
