ntpb,npts,nTriMax,totalRuntime,totalCPUTime,totalGPUTime,prepForInsertTimeTot,insertTimeTot,flipTimeTot,updatePtsTimeTot,seed,distribution,deviceName
128,4,9,0.003534,0.000143,0.003391,0.002709,0.000090,0.000555,0.000037,0,0,NVIDIA GeForce RTX 3090
128,4,9,0.003555,0.000142,0.003413,0.002726,0.000085,0.000563,0.000039,0,1,NVIDIA GeForce RTX 3090
128,4,9,0.003520,0.000143,0.003377,0.002687,0.000085,0.000566,0.000039,0,2,NVIDIA GeForce RTX 3090
128,4,9,0.003990,0.000198,0.003792,0.002761,0.000107,0.000874,0.000050,0,3,NVIDIA GeForce RTX 3090
128,8,17,0.005016,0.000259,0.004757,0.002899,0.000127,0.001668,0.000063,0,0,NVIDIA GeForce RTX 3090
128,8,17,0.004830,0.000261,0.004569,0.002860,0.000133,0.001511,0.000065,0,1,NVIDIA GeForce RTX 3090
128,8,17,0.004547,0.000253,0.004294,0.002769,0.000131,0.001328,0.000066,0,2,NVIDIA GeForce RTX 3090
128,8,17,0.004628,0.000268,0.004360,0.002972,0.000136,0.001186,0.000067,0,3,NVIDIA GeForce RTX 3090
128,16,33,0.005438,0.000276,0.005162,0.003113,0.000156,0.001812,0.000081,0,0,NVIDIA GeForce RTX 3090
128,16,33,0.005469,0.000322,0.005147,0.002951,0.000163,0.001952,0.000082,0,1,NVIDIA GeForce RTX 3090
128,16,33,0.005567,0.000317,0.005250,0.003013,0.000157,0.001997,0.000084,0,2,NVIDIA GeForce RTX 3090
128,16,33,0.005843,0.000312,0.005531,0.002958,0.000158,0.002335,0.000081,0,3,NVIDIA GeForce RTX 3090
128,32,65,0.006397,0.000384,0.006013,0.003090,0.000180,0.002634,0.000110,0,0,NVIDIA GeForce RTX 3090
128,32,65,0.006015,0.000382,0.005633,0.003023,0.000182,0.002321,0.000106,0,1,NVIDIA GeForce RTX 3090
128,32,65,0.006940,0.000371,0.006569,0.003134,0.000179,0.003148,0.000109,0,2,NVIDIA GeForce RTX 3090
128,32,65,0.006733,0.000393,0.006340,0.003072,0.000177,0.002983,0.000109,0,3,NVIDIA GeForce RTX 3090
128,64,129,0.007127,0.000424,0.006703,0.003239,0.000205,0.003106,0.000153,0,0,NVIDIA GeForce RTX 3090
128,64,129,0.007797,0.000493,0.007304,0.003349,0.000228,0.003551,0.000175,0,1,NVIDIA GeForce RTX 3090
128,64,129,0.007656,0.000443,0.007213,0.003186,0.000201,0.003677,0.000148,0,2,NVIDIA GeForce RTX 3090
128,64,129,0.007696,0.000434,0.007262,0.003094,0.000207,0.003813,0.000147,0,3,NVIDIA GeForce RTX 3090
128,128,257,0.008548,0.000494,0.008054,0.003350,0.000228,0.004248,0.000228,0,0,NVIDIA GeForce RTX 3090
128,128,257,0.008811,0.000541,0.008270,0.003338,0.000252,0.004411,0.000269,0,1,NVIDIA GeForce RTX 3090
128,128,257,0.008512,0.000487,0.008025,0.003315,0.000228,0.004258,0.000224,0,2,NVIDIA GeForce RTX 3090
128,128,257,0.008854,0.000482,0.008372,0.003128,0.000226,0.004790,0.000227,0,3,NVIDIA GeForce RTX 3090
128,256,513,0.009246,0.000552,0.008694,0.003409,0.000260,0.004623,0.000401,0,0,NVIDIA GeForce RTX 3090
128,256,513,0.010407,0.000607,0.009800,0.003544,0.000274,0.005520,0.000462,0,1,NVIDIA GeForce RTX 3090
128,256,513,0.009320,0.000560,0.008760,0.003443,0.000260,0.004662,0.000395,0,2,NVIDIA GeForce RTX 3090
128,256,513,0.009604,0.000563,0.009041,0.003414,0.000263,0.004988,0.000376,0,3,NVIDIA GeForce RTX 3090
128,512,1025,0.010357,0.000542,0.009815,0.003387,0.000268,0.005538,0.000621,0,0,NVIDIA GeForce RTX 3090
128,512,1025,0.012887,0.000714,0.012173,0.003680,0.000339,0.007131,0.001023,0,1,NVIDIA GeForce RTX 3090
128,512,1025,0.011011,0.000606,0.010405,0.003536,0.000295,0.005820,0.000754,0,2,NVIDIA GeForce RTX 3090
128,512,1025,0.011689,0.000657,0.011032,0.003647,0.000316,0.006245,0.000823,0,3,NVIDIA GeForce RTX 3090
128,1024,2049,0.012314,0.000663,0.011651,0.003635,0.000329,0.006156,0.001532,0,0,NVIDIA GeForce RTX 3090
128,1024,2049,0.012905,0.000667,0.012238,0.003615,0.000330,0.006829,0.001464,0,1,NVIDIA GeForce RTX 3090
128,1024,2049,0.011303,0.000624,0.010679,0.003502,0.000298,0.005647,0.001232,0,2,NVIDIA GeForce RTX 3090
128,1024,2049,0.013723,0.000694,0.013029,0.003730,0.000345,0.007416,0.001538,0,3,NVIDIA GeForce RTX 3090
128,2048,4097,0.014552,0.000669,0.013883,0.003540,0.000329,0.007428,0.002586,0,0,NVIDIA GeForce RTX 3090
128,2048,4097,0.018318,0.000816,0.017502,0.003961,0.000403,0.008976,0.004161,0,1,NVIDIA GeForce RTX 3090
128,2048,4097,0.015142,0.000733,0.014409,0.003647,0.000361,0.007267,0.003133,0,2,NVIDIA GeForce RTX 3090
128,2048,4097,0.016339,0.000795,0.015544,0.003821,0.000379,0.008182,0.003163,0,3,NVIDIA GeForce RTX 3090
128,4096,8193,0.019851,0.000702,0.019149,0.003890,0.000371,0.009395,0.005494,0,0,NVIDIA GeForce RTX 3090
128,4096,8193,0.029064,0.000942,0.028122,0.004485,0.000477,0.013441,0.009719,0,1,NVIDIA GeForce RTX 3090
128,4096,8193,0.019798,0.000727,0.019071,0.003872,0.000367,0.009412,0.005420,0,2,NVIDIA GeForce RTX 3090
128,4096,8193,0.022482,0.000840,0.021642,0.004103,0.000406,0.010587,0.006546,0,3,NVIDIA GeForce RTX 3090
128,8192,16385,0.028972,0.000785,0.028187,0.004624,0.000425,0.010147,0.012991,0,0,NVIDIA GeForce RTX 3090
128,8192,16385,0.039725,0.000958,0.038767,0.005150,0.000517,0.012951,0.020149,0,1,NVIDIA GeForce RTX 3090
128,8192,16385,0.029369,0.000783,0.028586,0.004627,0.000413,0.010613,0.012934,0,2,NVIDIA GeForce RTX 3090
128,8192,16385,0.033913,0.000905,0.033008,0.004980,0.000468,0.012025,0.015535,0,3,NVIDIA GeForce RTX 3090
128,16384,32769,0.052896,0.000833,0.052063,0.004970,0.000459,0.011829,0.034805,0,0,NVIDIA GeForce RTX 3090
128,16384,32769,0.074941,0.001022,0.073919,0.005508,0.000552,0.015726,0.052133,0,1,NVIDIA GeForce RTX 3090
128,16384,32769,0.045472,0.000768,0.044704,0.004819,0.000423,0.011412,0.028049,0,2,NVIDIA GeForce RTX 3090
128,16384,32769,0.055186,0.000875,0.054311,0.004960,0.000484,0.013995,0.034871,0,3,NVIDIA GeForce RTX 3090
128,32768,65537,0.102654,0.000919,0.101735,0.005498,0.000602,0.013803,0.081831,0,0,NVIDIA GeForce RTX 3090
128,32768,65537,0.135152,0.001088,0.134064,0.006037,0.000674,0.016538,0.110815,0,1,NVIDIA GeForce RTX 3090
128,32768,65537,0.094427,0.000941,0.093486,0.005271,0.000574,0.013553,0.074089,0,2,NVIDIA GeForce RTX 3090
128,32768,65537,0.095165,0.000978,0.094187,0.005696,0.000610,0.014286,0.073594,0,3,NVIDIA GeForce RTX 3090
128,65536,131073,0.191399,0.000937,0.190462,0.005821,0.000813,0.014779,0.169049,0,0,NVIDIA GeForce RTX 3090
128,65536,131073,0.311205,0.001186,0.310019,0.006982,0.000985,0.020827,0.281224,0,1,NVIDIA GeForce RTX 3090
128,65536,131073,0.220581,0.001004,0.219577,0.006066,0.000853,0.015870,0.196788,0,2,NVIDIA GeForce RTX 3090
128,65536,131073,0.227333,0.001066,0.226267,0.006505,0.000893,0.016964,0.201905,0,3,NVIDIA GeForce RTX 3090
128,131072,262145,0.462370,0.001084,0.461286,0.007208,0.001310,0.023110,0.429659,0,0,NVIDIA GeForce RTX 3090
128,131072,262145,0.783262,0.001454,0.781808,0.008864,0.001631,0.036700,0.734613,0,1,NVIDIA GeForce RTX 3090
128,131072,262145,0.475250,0.000920,0.474330,0.007147,0.001302,0.024008,0.441872,0,2,NVIDIA GeForce RTX 3090
128,131072,262145,0.535664,0.001123,0.534541,0.007878,0.001436,0.027090,0.498138,0,3,NVIDIA GeForce RTX 3090
128,262144,524289,1.342776,0.001361,1.341415,0.011288,0.002359,0.039127,1.288641,0,0,NVIDIA GeForce RTX 3090
