ntpb,npts,nTriMax,totalRuntime,totalCPUTime,totalGPUTime,prepForInsertTimeTot,insertTimeTot,flipTimeTot,updatePtsTimeTot,seed,distribution,deviceName
128,4,9,0.003648,0.000218,0.003430,0.002755,0.000086,0.000547,0.000042,0,0,NVIDIA GeForce RTX 3090
128,4,9,0.003598,0.000221,0.003377,0.002717,0.000084,0.000537,0.000040,0,1,NVIDIA GeForce RTX 3090
128,4,9,0.003611,0.000219,0.003392,0.002718,0.000086,0.000545,0.000043,0,2,NVIDIA GeForce RTX 3090
128,4,9,0.003963,0.000312,0.003651,0.002676,0.000110,0.000812,0.000054,0,3,NVIDIA GeForce RTX 3090
128,8,17,0.005184,0.000424,0.004760,0.002947,0.000138,0.001605,0.000070,0,0,NVIDIA GeForce RTX 3090
128,8,17,0.004924,0.000411,0.004513,0.002898,0.000135,0.001414,0.000065,0,1,NVIDIA GeForce RTX 3090
128,8,17,0.004853,0.000446,0.004407,0.002965,0.000133,0.001242,0.000068,0,2,NVIDIA GeForce RTX 3090
128,8,17,0.004778,0.000426,0.004352,0.003055,0.000135,0.001096,0.000066,0,3,NVIDIA GeForce RTX 3090
128,16,33,0.005605,0.000593,0.005012,0.003037,0.000155,0.001736,0.000084,0,0,NVIDIA GeForce RTX 3090
128,16,33,0.005739,0.000599,0.005140,0.003070,0.000152,0.001834,0.000084,0,1,NVIDIA GeForce RTX 3090
128,16,33,0.005710,0.000601,0.005109,0.003020,0.000154,0.001853,0.000083,0,2,NVIDIA GeForce RTX 3090
128,16,33,0.006177,0.000776,0.005401,0.003004,0.000157,0.002155,0.000085,0,3,NVIDIA GeForce RTX 3090
128,32,65,0.006847,0.000843,0.006004,0.003147,0.000177,0.002568,0.000113,0,0,NVIDIA GeForce RTX 3090
128,32,65,0.006586,0.000817,0.005769,0.003216,0.000185,0.002257,0.000110,0,1,NVIDIA GeForce RTX 3090
128,32,65,0.007417,0.000824,0.006593,0.003135,0.000190,0.003154,0.000113,0,2,NVIDIA GeForce RTX 3090
128,32,65,0.007206,0.000821,0.006385,0.003132,0.000181,0.002961,0.000111,0,3,NVIDIA GeForce RTX 3090
128,64,129,0.008234,0.001201,0.007033,0.003325,0.000207,0.003349,0.000153,0,0,NVIDIA GeForce RTX 3090
128,64,129,0.008970,0.001428,0.007542,0.003220,0.000231,0.003915,0.000175,0,1,NVIDIA GeForce RTX 3090
128,64,129,0.008841,0.001166,0.007675,0.003182,0.000205,0.004137,0.000151,0,2,NVIDIA GeForce RTX 3090
128,64,129,0.008980,0.001192,0.007788,0.003180,0.000213,0.004244,0.000150,0,3,NVIDIA GeForce RTX 3090
128,128,257,0.011423,0.002017,0.009406,0.003204,0.000243,0.005725,0.000234,0,0,NVIDIA GeForce RTX 3090
128,128,257,0.012299,0.002359,0.009940,0.003496,0.000259,0.005913,0.000272,0,1,NVIDIA GeForce RTX 3090
128,128,257,0.011218,0.001945,0.009273,0.003346,0.000230,0.005468,0.000229,0,2,NVIDIA GeForce RTX 3090
128,128,257,0.012104,0.002097,0.010007,0.003407,0.000231,0.006135,0.000233,0,3,NVIDIA GeForce RTX 3090
