ntpb,npts,nTriMax,totalRuntime,totalCPUTime,totalGPUTime,prepForInsertTimeTot,insertTimeTot,flipTimeTot,updatePtsTimeTot,seed,distribution,deviceName
128,1000,2001,0.044270,0.013370,0.030900,0.003580,0.000317,0.025465,0.001538,0,0,NVIDIA GeForce RTX 3090
128,1000,2001,0.050880,0.015433,0.035447,0.003651,0.000349,0.029696,0.001751,0,1,NVIDIA GeForce RTX 3090
128,1000,2001,0.037778,0.010545,0.027233,0.003419,0.000292,0.022294,0.001228,0,2,NVIDIA GeForce RTX 3090
128,1000,2001,0.047256,0.013484,0.033772,0.003720,0.000355,0.028146,0.001550,0,3,NVIDIA GeForce RTX 3090
128,1000,2001,0.040160,0.010838,0.029322,0.003469,0.000294,0.024311,0.001247,1,0,NVIDIA GeForce RTX 3090
128,1000,2001,0.053179,0.015697,0.037482,0.003678,0.000342,0.031686,0.001775,1,1,NVIDIA GeForce RTX 3090
128,1000,2001,0.039883,0.010552,0.029331,0.003449,0.000295,0.024362,0.001226,1,2,NVIDIA GeForce RTX 3090
128,1000,2001,0.043209,0.011554,0.031655,0.003590,0.000322,0.026404,0.001338,1,3,NVIDIA GeForce RTX 3090
128,1000,2001,0.044330,0.013183,0.031147,0.003605,0.000326,0.025688,0.001528,2,0,NVIDIA GeForce RTX 3090
128,1000,2001,0.055329,0.015772,0.039557,0.003653,0.000352,0.033802,0.001750,2,1,NVIDIA GeForce RTX 3090
128,1000,2001,0.040054,0.010427,0.029627,0.003440,0.000296,0.024676,0.001215,2,2,NVIDIA GeForce RTX 3090
128,1000,2001,0.039547,0.012008,0.027539,0.003562,0.000327,0.022260,0.001391,2,3,NVIDIA GeForce RTX 3090
