13
0.862163 0.877936
0.406903 0.467402
0.203504 0.495941
0.694545 0.675127
0.0535718 0.380304
0.932997 0.420587
0.575674 0.337587
0.65641 0.447701
0.442098 0.402728
0.528264 0.73582
1.72474 -0.207107
0.5 1.91421
-0.724745 -0.207107

0 1
10 11 12 

1 3
1 10 11 
1 11 12 
1 12 10 

2 7
1 12 10 
0 1 10 
0 10 11 
0 11 1 
4 1 11 
4 11 12 
4 12 1 

3 15
0 10 11 
4 11 12 
4 12 1 
6 1 12 
6 12 10 
6 10 1 
5 0 1 
5 1 10 
5 10 0 
9 0 11 
9 11 1 
9 1 0 
2 4 1 
2 1 11 
2 11 4 

4 19
0 10 11 
4 11 12 
4 12 1 
6 12 10 
6 10 1 
5 1 10 
5 10 0 
9 0 11 
9 11 1 
9 1 0 
2 4 1 
2 1 11 
2 11 4 
8 6 1 
8 1 12 
8 12 6 
3 5 0 
3 0 1 
3 1 5 

